"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"82","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",38,922.275994970095,1,1,0.41832082262672,0.233093447607701,0.3307,"ORC_fine"
"83","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",39,1156.26068845521,1,1,0.447008255289999,0.231549788682284,0.2998,"ORC_fine"
"84","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",4,1251.04279162141,1,1,0.483632286759088,0.240192043086088,0.2867,"ORC_fine"
"85","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",40,1157.08441938226,1,1,0.482109012577546,0.241539689940896,0.3129,"ORC_fine"
"86","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",41,1033.55815930523,1,1,0.447439481566082,0.234902181117294,0.2919,"ORC_fine"
"87","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",42,1143.89923596949,1,1,0.451768418661237,0.233555799636565,0.3027,"ORC_fine"
"88","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",43,1147.89781909506,1,1,0.448844789800909,0.231877742778184,0.2962,"ORC_fine"
"89","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",44,1042.87421119384,1,1,0.467466321223065,0.240422755622503,0.3214,"ORC_fine"
"90","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",45,903.465118459602,1,1,0.424940031325815,0.23035457899969,0.2998,"ORC_fine"
"91","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",46,1158.7483607161,1,1,0.458218282819065,0.235303567922383,0.3056,"ORC_fine"
"92","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",47,1104.23436228861,1,1,0.457308563750333,0.237024809598951,0.3029,"ORC_fine"
"93","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",48,948.187582671369,1,1,0.412152102129718,0.226652942723919,0.298,"ORC_fine"
"94","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",49,962.289959767907,1,1,0.42090793928902,0.227276022634773,0.2923,"ORC_fine"
"95","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",5,1094.39829146544,1,1,0.475289079097672,0.237834540786384,0.2908,"ORC_fine"
"96","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",50,1123.92488661364,1,1,0.450263775615187,0.235196423095145,0.3041,"ORC_fine"
