"","x"
"478","OSBPL5"
"479","ITGAL"
"480","CHI3L2"
"481","EMP3"
"482","ATP2B4"
"483","YBX3"
"484","LDB2"
"485","BCL2A1"
"486","VIPR2"
"487","MAP3K7CL"
"488","HBA2"
"489","ARHGAP24"
"490","CAPN12"
"491","CD9"
"492","CD27"
"493","ZBP1"
"494","PTCH1"
"495","KLRK1"
"496","PAM"
"497","PLEKHG1"
"498","LPCAT1"
"499","IGFBP4"
"500","DMKN"
"501","UGCG"
"502","IFI44L"
"503","ITGA2B"
"504","ARAP2"
"505","KIF19"
"506","PILRA"
"507","BCL11A"
"508","MYO6"
"509","IRF7"
"510","TSPAN2"
"511","CXCR3"
"512","CALM1"
"513","LGALS9B"
"514","CNTNAP2"
"515","ZNF595"
"516","CD320"
"517","SLC4A10"
"518","CAMK4"
"519","CDKN1A"
"520","PNOC"
"521","MALAT1"
"522","ETS1"
"523","ADTRP"
"524","HSP90AB1"
"525","KCNG1"
"526","GLUL"
"527","RRAS2"
"528","ENPP4"
"529","A2M-AS1"
"530","B3GNT7"
"531","ATP8A1"
"532","KLRC4"
"533","GNG2"
"534","CHN1"
"535","COL13A1"
"536","OPTN"
"537","CD200"
"538","ENPP5"
"539","PKIG"
"540","CCNJL"
"541","COLGALT2"
"542","LRRC26"
"543","JAKMIP1"
"544","SLFN5"
"545","BLNK"
"546","INPP4B"
"547","PTPN7"
"548","B3GAT1"
"549","TMIGD2"
"550","SMPD3"
"551","HSPA5"
"552","CEP290"
"553","GFOD1"
"554","GRAP2"
"555","FOXP1"
"556","PTPN12"
"557","SKAP1"
"558","DMXL2"
"559","ISG15"
"560","SPN"
"561","KLF2"
"562","RETN"
"563","IFNG-AS1"
"564","BCL2"
"565","ARHGEF12"
"566","NELL2"
"567","SBK1"
"568","PDE4B"
"569","TUBA1A"
"570","MIR181A2HG"
"571","CLEC2D"
"572","TNIK"
"573","CLEC4E"
"574","TALDO1"
"575","CTSH"
"576","FXYD7"
"577","TNF"
"578","DIP2A"
"579","BCL7A"
"580","SGSM1"
"581","ABCA2"
"582","ASCL2"
"583","CTSC"
"584","ITK"
"585","CD300A"
"586","PDGFRB"
"587","PTGER2"
"588","ELOVL6"
"589","CD300E"
"590","NUCB2"
"591","AGTRAP"
"592","C1QB"
"593","IGSF6"
"594","BTG1"
"595","HPGD"
"596","CEBPB"
"597","TC2N"
"598","EBF1"
"599","TMEM176B"
"600","GPR65"
"601","HVCN1"
"602","KLF10"
"603","DUSP4"
"604","MAFF"
"605","HBB"
"606","ABLIM1"
"607","PIM1"
"608","IFI30"
"609","CD96"
"610","RPL10A"
"611","MIB2"
"612","NPC1"
"613","CD6"
"614","CLEC4C"
"615","IL3RA"
"616","RNASE6"
"617","CERCAM"
"618","UTS2"
"619","HBQ1"
"620","MX1"
"621","CES1"
"622","PTPN22"
"623","DNAJB1"
"624","CARD16"
"625","PILRB"
"626","CD37"
"627","BCL11B"
"628","KIR2DL1"
"629","NUAK1"
"630","MYL9"
"631","SLC7A7"
"632","ANKRD36C"
"633","CALR"
"634","OXNAD1"
"635","LAT"
