"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE129","fine_clean_low_dim_simulations","K",1,"group_lasso",36,2.61659284896546,NA,1,0.0150375278901897,0.0489161762971509,0.2566,2.61659284896546,0.0150234276001113,0.0489161762971509,0.2563
"Beta_SSE40","fine_clean_low_dim_simulations","K",1,"elastic_net",37,3.14555078194524,NA,1,0.0170607289968834,0.0514942641315933,0.2474,2.99732081646846,0.016957375410166,0.0513921520765179,0.2468
"Beta_SSE130","fine_clean_low_dim_simulations","K",1,"group_lasso",37,3.14555078194524,NA,1,0.0170607289968834,0.0514942641315933,0.2474,2.99732081646846,0.016957375410166,0.0513921520765179,0.2468
"Beta_SSE41","fine_clean_low_dim_simulations","K",1,"elastic_net",38,3.32319659414255,NA,1,0.0153713063479522,0.0485058812515034,0.2442,3.22035670400148,0.0152986605669281,0.0484515561802418,0.2434
"Beta_SSE131","fine_clean_low_dim_simulations","K",1,"group_lasso",38,3.32319659414255,NA,1,0.0153713063479522,0.0485058812515034,0.2442,3.22035670400148,0.0152986605669281,0.0484515561802418,0.2434
"Beta_SSE42","fine_clean_low_dim_simulations","K",1,"elastic_net",39,3.7075919438187,NA,1,0.0163665452350713,0.0502907034604379,0.2439,3.22129311877403,0.0159908484997748,0.0495283859109285,0.2429
"Beta_SSE132","fine_clean_low_dim_simulations","K",1,"group_lasso",39,3.7075919438187,NA,1,0.0163665452350713,0.0502907034604379,0.2439,3.22129311877403,0.0159908484997748,0.0495283859109285,0.2429
"Beta_SSE43","fine_clean_low_dim_simulations","K",1,"elastic_net",4,3.91368841265592,NA,1,0.0182624006795147,0.0526269716639142,0.2393,3.72061397672572,0.0181275660948129,0.0525171758041921,0.2391
"Beta_SSE133","fine_clean_low_dim_simulations","K",1,"group_lasso",4,3.91368841265592,NA,1,0.0182624006795147,0.0526269716639142,0.2393,3.72061397672572,0.0181275660948129,0.0525171758041921,0.2391
"Beta_SSE44","fine_clean_low_dim_simulations","K",1,"elastic_net",40,3.32813105513271,NA,1,0.0164454523913634,0.0521063468595352,0.2645,2.9564821856479,0.0160273176034245,0.0510345625193655,0.2643
"Beta_SSE134","fine_clean_low_dim_simulations","K",1,"group_lasso",40,3.32813105513271,NA,1,0.0164454523913634,0.0521063468595352,0.2645,2.9564821856479,0.0160273176034245,0.0510345625193655,0.2643
"Beta_SSE45","fine_clean_low_dim_simulations","K",1,"elastic_net",41,3.95710858099696,NA,1,0.016971379484171,0.05208556695464,0.2483,3.54387342187565,0.0166227982779131,0.0513298365123576,0.2473
"Beta_SSE135","fine_clean_low_dim_simulations","K",1,"group_lasso",41,3.95710858099696,NA,1,0.016971379484171,0.05208556695464,0.2483,3.54387342187565,0.0166227982779131,0.0513298365123576,0.2473
"Beta_SSE46","fine_clean_low_dim_simulations","K",1,"elastic_net",42,3.30984823306177,NA,1,0.0162414908968509,0.0503758432653956,0.2369,3.30984823306177,0.0162414908968509,0.0503758432653956,0.2362
"Beta_SSE136","fine_clean_low_dim_simulations","K",1,"group_lasso",42,3.30984823306177,NA,1,0.0162414908968509,0.0503758432653956,0.2369,3.30984823306177,0.0162414908968509,0.0503758432653956,0.2362
"Beta_SSE47","fine_clean_low_dim_simulations","K",1,"elastic_net",43,3.38936159541603,NA,1,0.016799415304508,0.0513497611603828,0.2493,3.36395690079165,0.0167943100535765,0.0513405150949262,0.2493
"Beta_SSE137","fine_clean_low_dim_simulations","K",1,"group_lasso",43,3.38936159541603,NA,1,0.016799415304508,0.0513497611603828,0.2493,3.36395690079165,0.0167943100535765,0.0513405150949262,0.2493
"Beta_SSE48","fine_clean_low_dim_simulations","K",1,"elastic_net",44,3.31675107239804,NA,1,0.0158165687303703,0.0511325633082385,0.268,3.12040740989108,0.0156210993680494,0.0507489031850893,0.2671
"Beta_SSE138","fine_clean_low_dim_simulations","K",1,"group_lasso",44,3.31675107239804,NA,1,0.0158165687303703,0.0511325633082385,0.268,3.12040740989108,0.0156210993680494,0.0507489031850893,0.2671
"Beta_SSE49","fine_clean_low_dim_simulations","K",1,"elastic_net",45,3.36840562547638,NA,1,0.0169200687053394,0.0511968817129489,0.2451,3.32110625413918,0.016882411329506,0.0510150076978059,0.2443
"Beta_SSE139","fine_clean_low_dim_simulations","K",1,"group_lasso",45,3.36840562547638,NA,1,0.0169200687053394,0.0511968817129489,0.2451,3.32110625413918,0.016882411329506,0.0510150076978059,0.2443
"Beta_SSE50","fine_clean_low_dim_simulations","K",1,"elastic_net",46,3.84161222644761,NA,1,0.015053523357654,0.0474620283055461,0.2375,3.78905419549631,0.0150009295576368,0.0473650127925396,0.2374
"Beta_SSE140","fine_clean_low_dim_simulations","K",1,"group_lasso",46,3.84161222644761,NA,1,0.015053523357654,0.0474620283055461,0.2375,3.78905419549631,0.0150009295576368,0.0473650127925396,0.2374
"Beta_SSE51","fine_clean_low_dim_simulations","K",1,"elastic_net",47,3.94733305224706,NA,1,0.0159880523041831,0.049742743197541,0.2483,3.93756539446977,0.0159880523041831,0.049742743197541,0.2478
