"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE49","random_X_and_Beta","N",19200,"glmnet_relabel",9,1011.6954863445,1,1,0.648568941671834,0.253026764132188,0.2296,593.399500662968,0.601644966265931,0.237058759602321,0.2087,"observed"
"Beta_SSE50","random_X_and_Beta","N",19200,"glmnet_subset",1,1956.17703248547,0.9325,1,2.66699308304906,0.447980938814775,0.375,1071.06240914643,2.0399107874016,0.402278568340398,0.3632,"observed"
"Beta_SSE51","random_X_and_Beta","N",19200,"glmnet_subset",10,1936.6224538176,0.9475,1,2.69832312678304,0.450122422831521,0.3699,1007.58169161559,2.24031531181581,0.419601211142964,0.3549,"observed"
"Beta_SSE52","random_X_and_Beta","N",19200,"glmnet_subset",11,1919.66719426343,0.9475,1,2.71832446535359,0.454095199016273,0.3872,1050.36507869455,2.1643189704621,0.416697329717622,0.3739,"observed"
"Beta_SSE53","random_X_and_Beta","N",19200,"glmnet_subset",12,1844.4465757967,0.955,1,2.65039062766667,0.446433386434715,0.3623,922.249975832189,2.0904266939943,0.405445160032695,0.3433,"observed"
"Beta_SSE54","random_X_and_Beta","N",19200,"glmnet_subset",13,1929.4190010744,0.9425,1,2.68189999446704,0.451056135156425,0.381,972.675244365244,2.17519857970754,0.41568963128292,0.3618,"observed"
"Beta_SSE55","random_X_and_Beta","N",19200,"glmnet_subset",14,1996.40507731544,0.9275,1,2.78209219477226,0.456310332036577,0.3793,1068.299673558,2.20672260962567,0.416118538834849,0.3674,"observed"
"Beta_SSE56","random_X_and_Beta","N",19200,"glmnet_subset",15,1862.25768549882,0.9175,1,2.6015038310797,0.449165545745007,0.3805,992.253448403536,2.13297917363976,0.416496568857228,0.3602,"observed"
"Beta_SSE57","random_X_and_Beta","N",19200,"glmnet_subset",16,1902.34171146847,0.925,1,2.79313935906376,0.458914092050326,0.3855,995.657495473235,2.19044488729607,0.419373861000252,0.3676,"observed"
"Beta_SSE58","random_X_and_Beta","N",19200,"glmnet_subset",17,1920.27637043962,0.9225,1,2.73193781158006,0.454643223191111,0.3706,983.770306804188,2.04550001387874,0.405866062714404,0.3535,"observed"
